Wall time,Step,Value
1716811282.696785,1,10.259134292602539
1716811581.5490854,2,4.765420913696289
1716811891.199552,3,4.271005153656006
1716812200.6207948,4,3.8662073612213135
1716812509.1727667,5,3.416008949279785
1716812818.6414685,6,3.072789192199707
1716813123.129358,7,2.6580443382263184
1716813438.2326522,8,2.336102247238159
1716813820.4495137,9,2.026097297668457
1716814187.4849129,10,1.8114001750946045
1716814483.5481048,11,1.597345232963562
1716814780.2842615,12,1.4063122272491455
1716815076.059168,13,1.208738923072815
1716815371.329581,14,1.0987956523895264
1716815667.3926492,15,1.0111652612686157
1716815963.281032,16,0.8620836138725281
1716816258.477691,17,0.7337645292282104
1716816552.6865954,18,0.6797264814376831
1716816846.453982,19,0.5642019510269165
1716817140.558764,20,0.5470987558364868
1716817434.6793098,21,0.4695775806903839
1716817728.5539806,22,0.4099723994731903
1716818022.4657845,23,0.3450293242931366
1716818316.610991,24,0.3341240882873535
1716818610.6679418,25,0.30799227952957153
1716818904.6360154,26,0.26963186264038086
1716819198.7057636,27,0.23510368168354034
1716819492.7444365,28,0.20775792002677917
1716819786.6656847,29,0.24282510578632355
1716820080.817896,30,0.21263261139392853
1716820375.4491088,31,0.1876203864812851
1716820668.7948349,32,0.16926677525043488
1716820962.0068154,33,0.13832148909568787
1716821255.0865057,34,0.14078423380851746
1716821549.394727,35,0.11754009872674942
1716821888.7668343,36,0.1320042908191681
1716822215.786523,37,0.11143776029348373
1716822525.8116813,38,0.101827472448349
1716822892.126758,39,0.10105820745229721
1716823185.6923273,40,0.09252286702394485
1716823479.8403792,41,0.09973637014627457
1716823777.7906375,42,0.08733835816383362
1716824150.9174855,43,0.08306927233934402
1716824551.7465138,44,0.07603073865175247
1716824944.6854615,45,0.08452398329973221
1716825314.0385818,46,0.07996085286140442
1716825704.1433856,47,0.08194448798894882
1716826099.8334365,48,0.07472913712263107
1716826397.397821,49,0.08426139503717422
1716826690.664026,50,0.0677827000617981
